cve_id,cvss_score,cvss_severity,published,description,epss_score,epss_percentile,kev_flag,kev_date_added,kev_ransomware_use,kev_vuln_name,kev_short_description,kev_required_action
CVE-2021-41678,9.8,CRITICAL,2021-11-30T14:15:07.830,"A SQL injection vulnerability exists in version 8.0 of openSIS when MySQL or MariaDB is used as the application database. An attacker can then issue the SQL command through the /opensis/modules/users/Staff.php, staff{TITLE] parameter.",0.01305,0.67959,False,,,,,
CVE-2021-41679,9.8,CRITICAL,2021-11-30T14:15:08.033,"A SQL injection vulnerability exists in version 8.0 of openSIS when MySQL or MariaDB is used as the application database. An attacker can then issue the SQL command through the /opensis/modules/grades/InputFinalGrades.php, period parameter.",0.01305,0.67959,False,,,,,
CVE-2022-21661,8.0,HIGH,2022-01-06T23:15:07.933,"WordPress is a free and open-source content management system written in PHP and paired with a MariaDB database. Due to improper sanitization in WP_Query, there can be cases where SQL injection is possible through plugins or themes that use it in a certain way. This has been patched in WordPress version 5.8.3. Older affected versions are also fixed via security release, that go back till 3.7.37. We strongly recommend that you keep auto-updates enabled. There are no known workarounds for this vulnerability.",0.97795,0.999,False,,,,,
CVE-2022-21662,8.0,HIGH,2022-01-06T23:15:08.003,"WordPress is a free and open-source content management system written in PHP and paired with a MariaDB database. Low-privileged authenticated users (like author) in WordPress core are able to execute JavaScript/perform stored XSS attack, which can affect high-privileged users. This has been patched in WordPress version 5.8.3. Older affected versions are also fixed via security release, that go back till 3.7.37. We strongly recommend that you keep auto-updates enabled. There are no known workarounds for this issue.",0.64529,0.99167,False,,,,,
CVE-2022-21663,6.6,MEDIUM,2022-01-06T23:15:08.067,"WordPress is a free and open-source content management system written in PHP and paired with a MariaDB database. On a multisite, users with Super Admin role can bypass explicit/additional hardening under certain conditions through object injection. This has been patched in WordPress version 5.8.3. Older affected versions are also fixed via security release, that go back till 3.7.37. We strongly recommend that you keep auto-updates enabled. There are no known workarounds for this issue.",0.03695,0.88717,False,,,,,
CVE-2022-21664,7.4,HIGH,2022-01-06T23:15:08.130,"WordPress is a free and open-source content management system written in PHP and paired with a MariaDB database. Due to lack of proper sanitization in one of the classes, there's potential for unintended SQL queries to be executed. This has been patched in WordPress version 5.8.3. Older affected versions are also fixed via security release, that go back till 4.1.34. We strongly recommend that you keep auto-updates enabled. There are no known workarounds for this issue.",0.03752,0.88897,False,,,,,
CVE-2021-46657,5.5,MEDIUM,2022-01-29T23:15:07.370,get_sort_by_table in MariaDB before 10.6.2 allows an application crash via certain subquery uses of ORDER BY.,0.0039,0.31995,False,,,,,
CVE-2021-46658,5.5,MEDIUM,2022-01-29T23:15:07.417,save_window_function_values in MariaDB before 10.6.3 allows an application crash because of incorrect handling of with_window_func=true for a subquery.,0.00387,0.31741,False,,,,,
CVE-2021-46659,5.5,MEDIUM,2022-01-29T23:15:07.457,MariaDB before 10.7.2 allows an application crash because it does not recognize that SELECT_LEX::nest_level is local to each VIEW.,0.00551,0.43305,False,,,,,
CVE-2021-46661,5.5,MEDIUM,2022-02-01T02:15:06.787,MariaDB through 10.5.9 allows an application crash in find_field_in_tables and find_order_in_list via an unused common table expression (CTE).,0.00403,0.33314,False,,,,,
CVE-2021-46662,5.5,MEDIUM,2022-02-01T02:15:06.830,MariaDB through 10.5.9 allows a set_var.cc application crash via certain uses of an UPDATE statement in conjunction with a nested subquery.,0.00387,0.3174,False,,,,,
CVE-2021-46663,5.5,MEDIUM,2022-02-01T02:15:06.880,MariaDB through 10.5.13 allows a ha_maria::extra application crash via certain SELECT statements.,0.00403,0.33314,False,,,,,
CVE-2021-46664,5.5,MEDIUM,2022-02-01T02:15:06.927,MariaDB through 10.5.9 allows an application crash in sub_select_postjoin_aggr for a NULL value of aggr.,0.004,0.33049,False,,,,,
CVE-2021-46665,5.5,MEDIUM,2022-02-01T02:15:06.977,MariaDB through 10.5.9 allows a sql_parse.cc application crash because of incorrect used_tables expectations.,0.004,0.33049,False,,,,,
CVE-2021-46666,5.5,MEDIUM,2022-02-01T02:15:07.027,MariaDB before 10.6.2 allows an application crash because of mishandling of a pushdown from a HAVING clause to a WHERE clause.,0.00387,0.31741,False,,,,,
CVE-2021-46667,5.5,MEDIUM,2022-02-01T02:15:07.077,"MariaDB before 10.6.5 has a sql_lex.cc integer overflow, leading to an application crash.",0.00421,0.34988,False,,,,,
CVE-2021-46668,5.5,MEDIUM,2022-02-01T02:15:07.127,MariaDB through 10.5.9 allows an application crash via certain long SELECT DISTINCT statements that improperly interact with storage-engine resource limitations for temporary data structures.,0.004,0.33049,False,,,,,
CVE-2021-46669,7.5,HIGH,2022-02-01T02:15:07.173,MariaDB through 10.5.9 allows attackers to trigger a convert_const_to_int use-after-free when the BIGINT data type is used.,0.02403,0.82556,False,,,,,
CVE-2022-24048,7.8,HIGH,2022-02-18T20:15:17.757,MariaDB CONNECT Storage Engine Stack-based Buffer Overflow Privilege Escalation Vulnerability. This vulnerability allows local attackers to escalate privileges on affected installations of MariaDB. Authentication is required to exploit this vulnerability. The specific flaw exists within the processing of SQL queries. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to escalate privileges and execute arbitrary code in the context of the service account. Was ZDI-CAN-16191.,0.00689,0.49542,False,,,,,
CVE-2022-24050,7.8,HIGH,2022-02-18T20:15:17.873,MariaDB CONNECT Storage Engine Use-After-Free Privilege Escalation Vulnerability. This vulnerability allows local attackers to escalate privileges on affected installations of MariaDB. Authentication is required to exploit this vulnerability. The specific flaw exists within the processing of SQL queries. The issue results from the lack of validating the existence of an object prior to performing operations on the object. An attacker can leverage this vulnerability to escalate privileges and execute arbitrary code in the context of the service account. Was ZDI-CAN-16207.,0.00644,0.47669,False,,,,,
CVE-2022-24051,7.8,HIGH,2022-02-18T20:15:17.933,MariaDB CONNECT Storage Engine Format String Privilege Escalation Vulnerability. This vulnerability allows local attackers to escalate privileges on affected installations of MariaDB. Authentication is required to exploit this vulnerability. The specific flaw exists within the processing of SQL queries. The issue results from the lack of proper validation of a user-supplied string before using it as a format specifier. An attacker can leverage this vulnerability to escalate privileges and execute arbitrary code in the context of the service account. Was ZDI-CAN-16193.,0.00657,0.48255,False,,,,,
CVE-2022-24052,7.8,HIGH,2022-02-18T20:15:18.000,MariaDB CONNECT Storage Engine Heap-based Buffer Overflow Privilege Escalation Vulnerability. This vulnerability allows local attackers to escalate privileges on affected installations of MariaDB. Authentication is required to exploit this vulnerability. The specific flaw exists within the processing of SQL queries. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length heap-based buffer. An attacker can leverage this vulnerability to escalate privileges and execute arbitrary code in the context of the service account. Was ZDI-CAN-16190.,0.00689,0.49543,False,,,,,
CVE-2022-27376,7.5,HIGH,2022-04-12T20:15:08.470,"MariaDB Server v10.6.5 and below was discovered to contain an use-after-free in the component Item_args::walk_arg, which is exploited via specially crafted SQL statements.",0.02199,0.80916,False,,,,,
CVE-2022-27377,7.5,HIGH,2022-04-12T20:15:08.513,"MariaDB Server v10.6.3 and below was discovered to contain an use-after-free in the component Item_func_in::cleanup(), which is exploited via specially crafted SQL statements.",0.02337,0.8207,False,,,,,
CVE-2022-27378,7.5,HIGH,2022-04-12T20:15:08.557,An issue in the component Create_tmp_table::finalize of MariaDB Server v10.7 and below was discovered to allow attackers to cause a Denial of Service (DoS) via specially crafted SQL statements.,0.02406,0.82585,False,,,,,
CVE-2022-27379,7.5,HIGH,2022-04-12T20:15:08.593,An issue in the component Arg_comparator::compare_real_fixed of MariaDB Server v10.6.2 and below was discovered to allow attackers to cause a Denial of Service (DoS) via specially crafted SQL statements.,0.02264,0.81442,False,,,,,
CVE-2022-27380,7.5,HIGH,2022-04-12T20:15:08.633,An issue in the component my_decimal::operator= of MariaDB Server v10.6.3 and below was discovered to allow attackers to cause a Denial of Service (DoS) via specially crafted SQL statements.,0.02264,0.81442,False,,,,,
CVE-2022-27381,7.5,HIGH,2022-04-12T20:15:08.673,An issue in the component Field::set_default of MariaDB Server v10.6 and below was discovered to allow attackers to cause a Denial of Service (DoS) via specially crafted SQL statements.,0.02159,0.80558,False,,,,,
CVE-2022-27382,7.5,HIGH,2022-04-12T20:15:08.713,MariaDB Server v10.7 and below was discovered to contain a segmentation fault via the component Item_field::used_tables/update_depend_map_for_order.,0.01546,0.72755,False,,,,,
CVE-2022-27383,7.5,HIGH,2022-04-12T20:15:08.757,"MariaDB Server v10.6 and below was discovered to contain an use-after-free in the component my_strcasecmp_8bit, which is exploited via specially crafted SQL statements.",0.02097,0.80002,False,,,,,
CVE-2022-27384,7.5,HIGH,2022-04-12T20:15:08.797,An issue in the component Item_subselect::init_expr_cache_tracker of MariaDB Server v10.6 and below was discovered to allow attackers to cause a Denial of Service (DoS) via specially crafted SQL statements.,0.02159,0.80559,False,,,,,
CVE-2022-27385,7.5,HIGH,2022-04-12T20:15:08.837,An issue in the component Used_tables_and_const_cache::used_tables_and_const_cache_join of MariaDB Server v10.7 and below was discovered to allow attackers to cause a Denial of Service (DoS) via specially crafted SQL statements.,0.01644,0.74306,False,,,,,
CVE-2022-27386,7.5,HIGH,2022-04-12T20:15:08.877,MariaDB Server v10.7 and below was discovered to contain a segmentation fault via the component sql/sql_class.cc.,0.02264,0.81442,False,,,,,
CVE-2022-27387,7.5,HIGH,2022-04-12T20:15:08.917,"MariaDB Server v10.7 and below was discovered to contain a global buffer overflow in the component decimal_bin_size, which is exploited via specially crafted SQL statements.",0.02458,0.82978,False,,,,,
CVE-2022-27444,7.5,HIGH,2022-04-14T13:15:11.790,MariaDB Server v10.9 and below was discovered to contain a segmentation fault via the component sql/item_subselect.cc.,0.01485,0.71686,False,,,,,
CVE-2022-27445,7.5,HIGH,2022-04-14T13:15:11.830,MariaDB Server v10.9 and below was discovered to contain a segmentation fault via the component sql/sql_window.cc.,0.02174,0.80689,False,,,,,
CVE-2022-27446,7.5,HIGH,2022-04-14T13:15:11.873,MariaDB Server v10.9 and below was discovered to contain a segmentation fault via the component sql/item_cmpfunc.h.,0.01579,0.73274,False,,,,,
CVE-2022-27447,7.5,HIGH,2022-04-14T13:15:11.913,MariaDB Server v10.9 and below was discovered to contain a use-after-free via the component Binary_string::free_buffer() at /sql/sql_string.h.,0.02246,0.81298,False,,,,,
CVE-2022-27448,7.5,HIGH,2022-04-14T13:15:11.950,There is an Assertion failure in MariaDB Server v10.9 and below via 'node->pcur->rel_pos == BTR_PCUR_ON' at /row/row0mysql.cc.,0.02151,0.80496,False,,,,,
CVE-2022-27449,7.5,HIGH,2022-04-14T13:15:11.990,MariaDB Server v10.9 and below was discovered to contain a segmentation fault via the component sql/item_func.cc:148.,0.02211,0.81014,False,,,,,
CVE-2022-27451,7.5,HIGH,2022-04-14T13:15:12.027,MariaDB Server v10.9 and below was discovered to contain a segmentation fault via the component sql/field_conv.cc.,0.01663,0.74581,False,,,,,
CVE-2022-27452,7.5,HIGH,2022-04-14T13:15:12.067,MariaDB Server v10.9 and below was discovered to contain a segmentation fault via the component sql/item_cmpfunc.cc.,0.02186,0.80788,False,,,,,
CVE-2022-27455,7.5,HIGH,2022-04-14T13:15:12.107,MariaDB Server v10.6.3 and below was discovered to contain an use-after-free in the component my_wildcmp_8bit_impl at /strings/ctype-simple.c.,0.01564,0.73064,False,,,,,
CVE-2022-27456,7.5,HIGH,2022-04-14T13:15:12.143,MariaDB Server v10.6.3 and below was discovered to contain an use-after-free in the component VDec::VDec at /sql/sql_type.cc.,0.02125,0.80258,False,,,,,
CVE-2022-27457,7.5,HIGH,2022-04-14T13:15:12.183,MariaDB Server v10.6.3 and below was discovered to contain an use-after-free in the component my_mb_wc_latin1 at /strings/ctype-latin1.c.,0.01663,0.74581,False,,,,,
CVE-2022-31621,5.5,MEDIUM,2022-05-25T21:15:08.573,"MariaDB Server before 10.7 is vulnerable to Denial of Service. In extra/mariabackup/ds_xbstream.cc, when an error occurs (stream_ctxt->dest_file == NULL) while executing the method xbstream_open, the held lock is not released correctly, which allows local users to trigger a denial of service due to the deadlock. Note: The vendor argues this is just an improper locking bug and not a vulnerability with adverse effects.",0.00216,0.12171,False,,,,,
CVE-2022-31622,5.5,MEDIUM,2022-05-25T21:15:08.617,"MariaDB Server before 10.7 is vulnerable to Denial of Service. In extra/mariabackup/ds_compress.cc, when an error occurs (pthread_create returns a nonzero value) while executing the method create_worker_threads, the held lock is not released correctly, which allows local users to trigger a denial of service due to the deadlock. Note: The vendor argues this is just an improper locking bug and not a vulnerability with adverse effects.",0.00221,0.12792,False,,,,,
CVE-2022-31623,5.5,MEDIUM,2022-05-25T21:15:08.657,"MariaDB Server before 10.7 is vulnerable to Denial of Service. In extra/mariabackup/ds_compress.cc, when an error occurs (i.e., going to the err label) while executing the method create_worker_threads, the held lock thd->ctrl_mutex is not released correctly, which allows local users to trigger a denial of service due to the deadlock. Note: The vendor argues this is just an improper locking bug and not a vulnerability with adverse effects.",0.00225,0.1323,False,,,,,
CVE-2022-31624,5.5,MEDIUM,2022-05-25T21:15:08.700,"MariaDB Server before 10.7 is vulnerable to Denial of Service. While executing the plugin/server_audit/server_audit.c method log_statement_ex, the held lock lock_bigbuffer is not released correctly, which allows local users to trigger a denial of service due to the deadlock.",0.00209,0.11276,False,,,,,
CVE-2022-32081,7.5,HIGH,2022-07-01T20:15:08.143,MariaDB v10.4 to v10.7 was discovered to contain an use-after-poison in prepare_inplace_add_virtual at /storage/innobase/handler/handler0alter.cc.,0.01943,0.7833,False,,,,,
CVE-2022-32082,7.5,HIGH,2022-07-01T20:15:08.187,MariaDB v10.5 to v10.7 was discovered to contain an assertion failure at table->get_ref_count() == 0 in dict0dict.cc.,0.01853,0.7723,False,,,,,
CVE-2022-32083,7.5,HIGH,2022-07-01T20:15:08.227,MariaDB v10.2 to v10.6.1 was discovered to contain a segmentation fault via the component Item_subselect::init_expr_cache_tracker.,0.01763,0.76007,False,,,,,
CVE-2022-32084,7.5,HIGH,2022-07-01T20:15:08.267,MariaDB v10.2 to v10.7 was discovered to contain a segmentation fault via the component sub_select.,0.01999,0.78939,False,,,,,
CVE-2022-32085,7.5,HIGH,2022-07-01T20:15:08.307,MariaDB v10.2 to v10.7 was discovered to contain a segmentation fault via the component Item_func_in::cleanup/Item::cleanup_processor.,0.01778,0.76222,False,,,,,
CVE-2022-32086,7.5,HIGH,2022-07-01T20:15:08.357,MariaDB v10.4 to v10.8 was discovered to contain a segmentation fault via the component Item_field::fix_outer_field.,0.0137,0.69447,False,,,,,
CVE-2022-32087,7.5,HIGH,2022-07-01T20:15:08.403,MariaDB v10.2 to v10.7 was discovered to contain a segmentation fault via the component Item_args::walk_args.,0.0168,0.74835,False,,,,,
CVE-2022-32088,7.5,HIGH,2022-07-01T20:15:08.443,MariaDB v10.2 to v10.7 was discovered to contain a segmentation fault via the component Exec_time_tracker::get_loops/Filesort_tracker::report_use/filesort.,0.01778,0.76223,False,,,,,
CVE-2022-32089,7.5,HIGH,2022-07-01T20:15:08.483,MariaDB v10.5 to v10.7 was discovered to contain a segmentation fault via the component st_select_lex_unit::exclude_level.,0.01943,0.7833,False,,,,,
CVE-2022-32091,7.5,HIGH,2022-07-01T20:15:08.523,MariaDB v10.7 was discovered to contain an use-after-poison in in __interceptor_memset at /libsanitizer/sanitizer_common/sanitizer_common_interceptors.inc.,0.02097,0.79998,False,,,,,
CVE-2022-38791,5.5,MEDIUM,2022-08-27T20:15:08.290,"In MariaDB before 10.9.2, compress_write in extra/mariabackup/ds_compress.cc does not release data_mutex upon a stream write failure, which allows local users to trigger a deadlock.",0.00241,0.15321,False,,,,,
CVE-2022-39267,8.8,HIGH,2022-10-19T13:15:08.753,"Bifrost is a heterogeneous middleware that synchronizes MySQL, MariaDB to Redis, MongoDB, ClickHouse, MySQL and other services for production environments. Versions prior to 1.8.8-release are subject to authentication bypass in the admin and monitor user groups by deleting the X-Requested-With: XMLHttpRequest field in the request header. This issue has been patched in 1.8.8-release. There are no known workarounds.",0.00748,0.51654,False,,,,,
CVE-2022-47015,6.5,MEDIUM,2023-01-20T19:15:17.443,MariaDB Server before 10.3.34 thru 10.9.3 is vulnerable to Denial of Service. It is possible for function spider_db_mbase::print_warnings to dereference a null pointer.,0.01486,0.71708,False,,,,,
CVE-2023-40354,6.5,MEDIUM,2023-08-14T17:15:10.533,"An issue was discovered in MariaDB MaxScale before 23.02.3. A user enters an encrypted password on a ""maxctrl create service"" command line, but this password is then stored in cleartext in the resulting .cnf file under /var/lib/maxscale/maxscale.cnf.d. The fixed versions are 2.5.28, 6.4.9, 22.08.8, and 23.02.3.",0.00268,0.18875,False,,,,,
CVE-2023-5157,7.5,HIGH,2023-09-27T15:19:41.807,A vulnerability was found in MariaDB. An OpenVAS port scan on ports 3306 and 4567 allows a malicious remote client to cause a denial of service.,0.02021,0.7921,False,,,,,
CVE-2023-46127,5.4,MEDIUM,2023-10-23T15:15:09.313,Frappe is a full-stack web application framework that uses Python and MariaDB on the server side and an integrated client side library. A malicious Frappe user with desk access could create documents containing HTML payloads allowing HTML Injection. This vulnerability has been patched in version 14.49.0.,0.36979,0.98378,False,,,,,
CVE-2024-24812,5.4,MEDIUM,2024-02-07T15:15:08.703,"Frappe is a full-stack web application framework that uses Python and MariaDB on the server side and a tightly integrated client side library. Prior to versions 14.59.0 and 15.5.0, portal pages are susceptible to Cross-Site Scripting (XSS) which can be used to inject malicious JS code if user clicks on a malicious link. This vulnerability has been patched in versions 14.59.0 and 15.5.0. No known workarounds are available.",0.00384,0.31434,False,,,,,
CVE-2023-5456,8.1,HIGH,2024-03-05T11:15:07.657,A CWE-798 “Use of Hard-coded Credentials” vulnerability in the MariaDB database of the web application allows a remote unauthenticated attacker to access the database service and all included data with the same privileges of the web application. This issue affects: AiLux imx6 bundle below version imx6_1.0.7-2.,0.00591,0.45247,False,,,,,
CVE-2024-32879,4.9,MEDIUM,2024-04-24T20:15:07.867,"Python Social Auth is a social authentication/registration mechanism. Prior to version 5.4.1, due to default case-insensitive collation in MySQL or MariaDB databases, third-party authentication user IDs are not case-sensitive and could cause different IDs to match. This issue has been addressed by a fix released in version 5.4.1. An immediate workaround would be to change collation of the affected field.",0.00581,0.44808,False,,,,,
CVE-2024-34693,6.8,MEDIUM,2024-06-20T09:15:11.683,"Improper Input Validation vulnerability in Apache Superset, allows for an authenticated attacker to create a MariaDB connection with local_infile enabled. If both the MariaDB server (off by default) and the local mysql client on the web server are set to allow for local infile, it's possible for the attacker to execute a specific MySQL/MariaDB SQL command that is able to read files from the server and insert their content on a MariaDB database table.This issue affects Apache Superset: before 3.1.3 and version 4.0.0

Users are recommended to upgrade to version 4.0.1 or 3.1.3, which fixes the issue.",0.01571,0.73152,False,,,,,
CVE-2024-45308,6.5,MEDIUM,2024-09-02T18:15:37.150,"HedgeDoc is an open source, real-time, collaborative, markdown notes application. When using HedgeDoc 1 with MySQL or MariaDB, it is possible to create notes with an alias matching the ID of existing notes. The affected existing note can then not be accessed anymore and is effectively hidden by the new one. When the freeURL feature is enabled (by setting the `allowFreeURL` config option or the `CMD_ALLOW_FREEURL` environment variable to `true`), any user with the appropriate permissions can create a note with an arbitrary alias, e.g. by accessing it in the browser. When MySQL or MariaDB are used, it is possible to create a new note with an alias that matches the lower-cased ID of a different note. HedgeDoc then always presents the new note to users, as these databases perform case-insensitive matching and the lower-cased alias is found first. This issue only affects HedgeDoc instances that use MySQL or MariaDB. Depending on the permission settings of the HedgeDoc instance, the issue can be exploited only by logged-in users or by all (including non-logged-in) users. The exploit requires knowledge of the ID of the target note. Attackers could use this issue to present a manipulated copy of the original note to the user, e.g. by replacing the links with malicious ones. Attackers can also use this issue to prevent access to the original note, causing a denial of service. No data is lost, as the original content of the affected notes is still present in the database. Users are advised to upgrade to version 1.10.0 which addresses this issue. Users unable to upgrade may disable freeURL mode which prevents the exploitation of this issue. The impact can also be limited by restricting freeURL note creation to trusted, logged-in users by enabling `requireFreeURLAuthentication`/`CMD_REQUIRE_FREEURL_AUTHENTICATION`.",0.00551,0.43304,False,,,,,
CVE-2023-26785,9.8,CRITICAL,2024-10-17T22:15:02.743,"MariaDB v10.5 was discovered to contain a remote code execution (RCE) vulnerability via UDF Code in a Shared Object File, followed by a ""create function"" statement. NOTE: this is disputed by the MariaDB Foundation because no privilege boundary is crossed.",0.02159,0.80556,False,,,,,
CVE-2023-39593,5.6,MEDIUM,2024-10-17T22:15:02.847,Insecure permissions in the sys_exec function of MariaDB v10.5 allows authenticated attackers to execute arbitrary commands with elevated privileges. NOTE: this is disputed by the MariaDB Foundation because no privilege boundary is crossed.,0.00726,0.50893,False,,,,,
CVE-2024-27766,5.7,MEDIUM,2024-10-17T22:15:02.920,An issue in MariaDB v.11.1 allows a remote attacker to execute arbitrary code via the lib_mysqludf_sys.so function. NOTE: this is disputed by the MariaDB Foundation because no privilege boundary is crossed.,0.01262,0.66994,False,,,,,
CVE-2023-52968,4.9,MEDIUM,2025-03-08T23:15:13.173,"MariaDB Server 10.4 before 10.4.33, 10.5 before 10.5.24, 10.6 before 10.6.17, 10.7 through 10.11 before 10.11.7, 11.0 before 11.0.5, and 11.1 before 11.1.4 calls fix_fields_if_needed under mysql_derived_prepare when derived is not yet prepared, leading to a find_field_in_table crash.",0.00413,0.34279,False,,,,,
CVE-2023-52969,4.9,MEDIUM,2025-03-08T23:15:14.357,"MariaDB Server 10.4 through 10.5.*, 10.6 through 10.6.*, 10.7 through 10.11.*, and 11.0 through 11.0.* can sometimes crash with an empty backtrace log. This may be related to make_aggr_tables_info and optimize_stage2.",0.0045,0.37236,False,,,,,
CVE-2023-52970,4.9,MEDIUM,2025-03-08T23:15:14.527,"MariaDB Server 10.4 through 10.5.*, 10.6 through 10.6.*, 10.7 through 10.11.*, 11.0 through 11.0.*, and 11.1 through 11.4.* crashes in Item_direct_view_ref::derived_field_transformer_for_where.",0.00441,0.36552,False,,,,,
CVE-2023-52971,4.9,MEDIUM,2025-03-08T23:15:14.683,MariaDB Server 10.10 through 10.11.* and 11.0 through 11.4.* crashes in JOIN::fix_all_splittings_in_plan.,0.00485,0.39462,False,,,,,
CVE-2025-56404,7.5,HIGH,2025-09-10T14:15:39.237,An issue was discovered in MariaDB MCP 0.1.0 allowing attackers to gain sensitive information via the SSE service as the SSE service lacks user validation.,0.0034,0.2679,False,,,,,
CVE-2025-59681,7.1,HIGH,2025-10-01T19:15:36.487,"An issue was discovered in Django 4.2 before 4.2.25, 5.1 before 5.1.13, and 5.2 before 5.2.7. QuerySet.annotate(), QuerySet.alias(), QuerySet.aggregate(), and QuerySet.extra() are subject to SQL injection in column aliases, when using a suitably crafted dictionary, with dictionary expansion, as the **kwargs passed to these methods (on MySQL and MariaDB).",0.00583,0.44884,False,,,,,
CVE-2025-10289,5.9,MEDIUM,2025-12-13T16:16:44.830,"The Filter & Grids plugin for WordPress is vulnerable to SQL Injection via the 'phrase' parameter in all versions up to, and including, 3.2.0 due to insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query.  This makes it possible for unauthenticated attackers to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database. This only works on MariaDB as the query results in a syntax error on MySQL.",0.00277,0.20031,False,,,,,
CVE-2025-14758,6.5,MEDIUM,2025-12-16T01:15:47.267,"Incorrect configuration of replication security in the MariaDB component of the infra-operator in YAOOK Operator allows an on-path attacker to read database contents, potentially including credentials",0.0018,0.07814,False,,,,,
CVE-2025-13699,7.0,HIGH,2025-12-23T22:15:44.800,"MariaDB mariadb-dump Utility Directory Traversal Remote Code Execution Vulnerability. This vulnerability allows remote attackers to execute arbitrary code on affected installations of MariaDB. Interaction with the mariadb-dump utility is required to exploit this vulnerability but attack vectors may vary depending on the implementation.

The specific flaw exists within the handling of view names. The issue results from the lack of proper validation of a user-supplied path prior to using it in file operations. An attacker can leverage this vulnerability to execute code in the context of the current user. Was ZDI-CAN-27000.",0.0044,0.36398,False,,,,,
CVE-2026-22027,6.0,MEDIUM,2026-01-10T01:16:18.990,"CryptoLib provides a software-only solution using the CCSDS Space Data Link Security Protocol - Extended Procedures (SDLS-EP) to secure communications between a spacecraft running the core Flight System (cFS) and a ground station. Prior to version 1.4.3, the convert_hexstring_to_byte_array() function in the MariaDB SA interface writes decoded bytes into a caller-provided buffer without any capacity check. When importing SA fields from the database (e.g., IV, ARSN, ABM), a malformed or oversized hex string in the database can overflow the destination buffer, corrupting adjacent heap memory. This issue has been patched in version 1.4.3.",0.00213,0.11741,False,,,,,
CVE-2021-47761,7.8,HIGH,2026-01-15T16:16:07.160,"MilleGPG5 5.7.2 contains a local privilege escalation vulnerability that allows authenticated users to modify service executable files in the MariaDB bin directory. Attackers can replace the mysqld.exe with a malicious executable, which will execute with system privileges when the computer restarts.",0.00095,0.00778,False,,,,,
CVE-2026-3494,4.3,MEDIUM,2026-03-03T20:16:50.667,"In MariaDB server version through 11.8.5, when server audit plugin is enabled with server_audit_events variable configured with QUERY_DCL, QUERY_DDL, or QUERY_DML filtering, if an authenticated database user invokes a SQL statement prefixed with double-hyphen (—) or hash (#) style comments, the statement is not logged.",0.00274,0.19653,False,,,,,
CVE-2026-22730,8.8,HIGH,2026-03-18T08:16:31.170,"A critical SQL injection vulnerability in Spring AI's MariaDBFilterExpressionConverter allows attackers to bypass metadata-based access controls and execute arbitrary SQL commands.

The vulnerability exists due to missing input sanitization.",0.00522,0.41694,False,,,,,
CVE-2026-32710,8.5,HIGH,2026-03-20T19:16:16.670,"MariaDB server is a community developed fork of MySQL server. An authenticated user can crash MariaDB versions 11.4 before 11.4.10 and 11.8 before 11.8.6 via a bug in JSON_SCHEMA_VALID() function. Under certain conditions it might be possible to turn the crash into a remote code execution. These conditions require tight control over memory layout which is generally only attainable in a lab environment. This issue is fixed in MariaDB 11.4.10, MariaDB 11.8.6, and MariaDB 12.2.2.",0.00856,0.55167,False,,,,,
CVE-2026-35549,6.5,MEDIUM,2026-04-03T05:16:23.160,"An issue was discovered in MariaDB Server before 11.4.10, 11.5.x through 11.8.x before 11.8.6, and 12.x before 12.2.2. If the caching_sha2_password authentication plugin is installed, and some user accounts are configured to use it, a large packet can crash the server because sha256_crypt_r uses alloca.",0.00256,0.17316,False,,,,,
CVE-2026-46446,7.1,HIGH,2026-05-14T04:17:03.547,"SOGo before 5.12.7, when PostgreSQL or MariaDB is used, and cleartext passwords are stored, allows SQL injection. This is related to c_password = '%@' in changePasswordForLogin.",0.00239,0.15021,False,,,,,
CVE-2026-43917,,,2026-05-29T18:17:09.550,"Dokploy is a free, self-hostable Platform as a Service (PaaS). In 0.19.0 and earlier, the protectedProcedure middleware only verifies the user is authenticated - it does NOT enforce organization scoping. Each endpoint must individually verify the resource's org matches the session's activeOrganizationId. This affects the following endpoints: allByType, killProcess, and removeDeployment in deployment.ts; delete in rollbacks.ts; create, one, update, remove, manualBackupPostgres, MySql, Mariadb, Mongo, Compose, WebServer, and listBackupFiles in backup.ts; list, one, delete, update, runManually, and restoreVolumeBackupWithLogs in volume-backups.ts; getNodes, removeWorker, addWorker, and addManager in cluster.ts; and create in mount.ts.",0.00225,0.13328,False,,,,,
CVE-2026-49261,10.0,CRITICAL,2026-06-11T18:16:26.553,"MariaDB server is a community developed fork of MySQL server. Versions 10.6.1 through 10.6.26, 10.11.1 through 10.11.17, 11.4.1 through 11.4.11, 11.8.1 through 11.8.7, and 12.3.1 with  `wsrep_notify_cmd` enabled would execute shell commands embedded in the name of the joiner node. This is fixed in 10.6.27, 10.11.18, 11.4.12, 11.8.8, and 12.3.2. As a workaround, anyone who cannot upgrade now should disable `wsrep_notify_cmd`.",0.01582,0.73322,False,,,,,
